date,trainId,route,source,destination,scheduledTime,passengerCount,totalCapacity,seatsAvailable,occupancyRate,coaches,platformNumber,delayMinutes,isWeekend,isHoliday,season
2026-01-10,TR001,Mumbai→Delhi,Mumbai,Delhi,17:30,960,640,0,1.5,8,6,21,True,True,winter
2026-01-11,TR001,Mumbai→Delhi,Mumbai,Delhi,21:30,960,640,0,1.5,8,6,30,True,False,winter
2026-01-12,TR001,Mumbai→Delhi,Mumbai,Delhi,15:30,960,640,0,1.5,8,6,13,False,False,winter
2026-01-13,TR001,Mumbai→Delhi,Mumbai,Delhi,21:30,960,640,0,1.5,8,6,12,False,False,winter
2026-01-14,TR001,Mumbai→Delhi,Mumbai,Delhi,03:30,960,640,0,1.5,8,6,14,False,True,winter
2026-01-15,TR001,Mumbai→Delhi,Mumbai,Delhi,08:30,960,640,0,1.5,8,6,14,False,False,winter
2026-01-16,TR001,Mumbai→Delhi,Mumbai,Delhi,18:30,903,640,0,1.4109375,8,6,6,False,False,winter
2026-01-17,TR001,Mumbai→Delhi,Mumbai,Delhi,12:30,960,640,0,1.5,8,6,32,True,False,winter
2026-01-18,TR001,Mumbai→Delhi,Mumbai,Delhi,02:30,960,640,0,1.5,8,6,22,True,False,winter
2026-01-19,TR001,Mumbai→Delhi,Mumbai,Delhi,05:30,960,640,0,1.5,8,6,36,False,True,winter
2026-01-20,TR001,Mumbai→Delhi,Mumbai,Delhi,00:30,901,640,0,1.4078125,8,6,3,False,False,winter
2026-01-21,TR001,Mumbai→Delhi,Mumbai,Delhi,14:30,960,640,0,1.5,8,6,4,False,False,winter
2026-01-22,TR001,Mumbai→Delhi,Mumbai,Delhi,01:30,960,640,0,1.5,8,6,11,False,False,winter
2026-01-23,TR001,Mumbai→Delhi,Mumbai,Delhi,11:30,904,640,0,1.4125,8,6,13,False,False,winter
2026-01-24,TR001,Mumbai→Delhi,Mumbai,Delhi,07:30,960,640,0,1.5,8,6,17,True,False,winter
2026-01-25,TR001,Mumbai→Delhi,Mumbai,Delhi,03:30,960,640,0,1.5,8,6,34,True,False,winter
2026-01-26,TR001,Mumbai→Delhi,Mumbai,Delhi,12:30,960,640,0,1.5,8,6,13,False,False,winter
2026-01-27,TR001,Mumbai→Delhi,Mumbai,Delhi,07:30,947,640,0,1.4796875,8,6,2,False,False,winter
2026-01-28,TR001,Mumbai→Delhi,Mumbai,Delhi,09:30,960,640,0,1.5,8,6,17,False,False,winter
2026-01-29,TR001,Mumbai→Delhi,Mumbai,Delhi,22:30,960,640,0,1.5,8,6,16,False,False,winter
2026-01-30,TR001,Mumbai→Delhi,Mumbai,Delhi,23:30,944,640,0,1.475,8,6,15,False,False,winter
2026-01-31,TR001,Mumbai→Delhi,Mumbai,Delhi,18:30,960,640,0,1.5,8,6,19,True,False,winter
2026-02-01,TR001,Mumbai→Delhi,Mumbai,Delhi,06:30,960,640,0,1.5,8,6,18,True,False,winter
2026-02-02,TR001,Mumbai→Delhi,Mumbai,Delhi,06:30,939,640,0,1.4671875,8,6,7,False,False,winter
2026-02-03,TR001,Mumbai→Delhi,Mumbai,Delhi,20:30,939,640,0,1.4671875,8,6,14,False,False,winter
2026-02-04,TR001,Mumbai→Delhi,Mumbai,Delhi,14:30,960,640,0,1.5,8,6,6,False,False,winter
2026-02-05,TR001,Mumbai→Delhi,Mumbai,Delhi,19:30,960,640,0,1.5,8,6,19,False,False,winter
2026-02-06,TR001,Mumbai→Delhi,Mumbai,Delhi,12:30,914,640,0,1.428125,8,6,15,False,False,winter
2026-02-07,TR001,Mumbai→Delhi,Mumbai,Delhi,04:30,960,640,0,1.5,8,6,15,True,False,winter
2026-02-08,TR001,Mumbai→Delhi,Mumbai,Delhi,21:30,960,640,0,1.5,8,6,19,True,False,winter
2026-02-09,TR001,Mumbai→Delhi,Mumbai,Delhi,02:30,960,640,0,1.5,8,6,15,False,False,winter
2026-02-10,TR001,Mumbai→Delhi,Mumbai,Delhi,22:30,960,640,0,1.5,8,6,13,False,False,winter
2026-02-11,TR001,Mumbai→Delhi,Mumbai,Delhi,12:30,920,640,0,1.4375,8,6,11,False,False,winter
2026-02-12,TR001,Mumbai→Delhi,Mumbai,Delhi,09:30,960,640,0,1.5,8,6,8,False,False,winter
2026-02-13,TR001,Mumbai→Delhi,Mumbai,Delhi,15:30,960,640,0,1.5,8,6,19,False,False,winter
2026-02-14,TR001,Mumbai→Delhi,Mumbai,Delhi,13:30,960,640,0,1.5,8,6,30,True,False,winter
2026-02-15,TR001,Mumbai→Delhi,Mumbai,Delhi,17:30,960,640,0,1.5,8,6,24,True,False,winter
2026-02-16,TR001,Mumbai→Delhi,Mumbai,Delhi,14:30,960,640,0,1.5,8,6,15,False,False,winter
2026-02-17,TR001,Mumbai→Delhi,Mumbai,Delhi,16:30,904,640,0,1.4125,8,6,16,False,False,winter
2026-02-18,TR001,Mumbai→Delhi,Mumbai,Delhi,14:30,960,640,0,1.5,8,6,2,False,False,winter
2026-02-19,TR001,Mumbai→Delhi,Mumbai,Delhi,23:30,960,640,0,1.5,8,6,11,False,False,winter
2026-02-20,TR001,Mumbai→Delhi,Mumbai,Delhi,15:30,960,640,0,1.5,8,6,11,False,False,winter
2026-02-21,TR001,Mumbai→Delhi,Mumbai,Delhi,18:30,960,640,0,1.5,8,6,23,True,False,winter
2026-02-22,TR001,Mumbai→Delhi,Mumbai,Delhi,19:30,960,640,0,1.5,8,6,19,True,False,winter
2026-02-23,TR001,Mumbai→Delhi,Mumbai,Delhi,23:30,960,640,0,1.5,8,6,3,False,False,winter
2026-02-24,TR001,Mumbai→Delhi,Mumbai,Delhi,00:30,960,640,0,1.5,8,6,2,False,False,winter
2026-02-25,TR001,Mumbai→Delhi,Mumbai,Delhi,05:30,945,640,0,1.4765625,8,6,10,False,False,winter
2026-02-26,TR001,Mumbai→Delhi,Mumbai,Delhi,13:30,958,640,0,1.496875,8,6,10,False,False,winter
2026-02-27,TR001,Mumbai→Delhi,Mumbai,Delhi,21:30,960,640,0,1.5,8,6,4,False,False,winter
2026-02-28,TR001,Mumbai→Delhi,Mumbai,Delhi,21:30,960,640,0,1.5,8,6,30,True,False,winter
2026-03-01,TR001,Mumbai→Delhi,Mumbai,Delhi,17:30,960,640,0,1.5,8,6,19,True,False,summer
2026-03-02,TR001,Mumbai→Delhi,Mumbai,Delhi,16:30,960,640,0,1.5,8,6,27,False,True,summer
2026-03-03,TR001,Mumbai→Delhi,Mumbai,Delhi,00:30,960,640,0,1.5,8,6,16,False,False,summer
2026-03-04,TR001,Mumbai→Delhi,Mumbai,Delhi,05:30,960,640,0,1.5,8,6,13,False,False,summer
2025-12-05,TR002,Delhi→Chennai,Delhi,Chennai,09:30,840,560,0,1.5,7,5,18,False,False,winter
2025-12-06,TR002,Delhi→Chennai,Delhi,Chennai,15:30,840,560,0,1.5,7,5,26,True,False,winter
2025-12-07,TR002,Delhi→Chennai,Delhi,Chennai,20:30,840,560,0,1.5,7,5,20,True,False,winter
2025-12-08,TR002,Delhi→Chennai,Delhi,Chennai,15:30,840,560,0,1.5,7,5,7,False,False,winter
2025-12-09,TR002,Delhi→Chennai,Delhi,Chennai,22:30,840,560,0,1.5,7,5,16,False,False,winter
2025-12-10,TR002,Delhi→Chennai,Delhi,Chennai,22:30,840,560,0,1.5,7,5,22,False,True,winter
2025-12-11,TR002,Delhi→Chennai,Delhi,Chennai,07:30,840,560,0,1.5,7,5,10,False,False,winter
2025-12-12,TR002,Delhi→Chennai,Delhi,Chennai,15:30,840,560,0,1.5,7,5,22,False,True,winter
2025-12-13,TR002,Delhi→Chennai,Delhi,Chennai,03:30,840,560,0,1.5,7,5,15,True,False,winter
2025-12-14,TR002,Delhi→Chennai,Delhi,Chennai,05:30,840,560,0,1.5,7,5,24,True,False,winter
2025-12-15,TR002,Delhi→Chennai,Delhi,Chennai,19:30,840,560,0,1.5,7,5,5,False,False,winter
2025-12-16,TR002,Delhi→Chennai,Delhi,Chennai,18:30,840,560,0,1.5,7,5,9,False,False,winter
2025-12-17,TR002,Delhi→Chennai,Delhi,Chennai,12:30,840,560,0,1.5,7,5,4,False,False,winter
2025-12-18,TR002,Delhi→Chennai,Delhi,Chennai,16:30,840,560,0,1.5,7,5,13,False,False,winter
2025-12-19,TR002,Delhi→Chennai,Delhi,Chennai,11:30,840,560,0,1.5,7,5,19,False,False,winter
2025-12-20,TR002,Delhi→Chennai,Delhi,Chennai,17:30,840,560,0,1.5,7,5,17,True,False,winter
2025-12-21,TR002,Delhi→Chennai,Delhi,Chennai,05:30,840,560,0,1.5,7,5,30,True,False,winter
2025-12-22,TR002,Delhi→Chennai,Delhi,Chennai,19:30,840,560,0,1.5,7,5,13,False,False,winter
2025-12-23,TR002,Delhi→Chennai,Delhi,Chennai,11:30,840,560,0,1.5,7,5,16,False,False,winter
2025-12-24,TR002,Delhi→Chennai,Delhi,Chennai,01:30,840,560,0,1.5,7,5,0,False,False,winter
2025-12-25,TR002,Delhi→Chennai,Delhi,Chennai,17:30,840,560,0,1.5,7,5,14,False,False,winter
2025-12-26,TR002,Delhi→Chennai,Delhi,Chennai,16:30,840,560,0,1.5,7,5,13,False,False,winter
2025-12-27,TR002,Delhi→Chennai,Delhi,Chennai,01:30,840,560,0,1.5,7,5,23,True,False,winter
2025-12-28,TR002,Delhi→Chennai,Delhi,Chennai,06:30,840,560,0,1.5,7,5,25,True,True,winter
2025-12-29,TR002,Delhi→Chennai,Delhi,Chennai,01:30,840,560,0,1.5,7,5,4,False,False,winter
2025-12-30,TR002,Delhi→Chennai,Delhi,Chennai,19:30,840,560,0,1.5,7,5,16,False,False,winter
2025-12-31,TR002,Delhi→Chennai,Delhi,Chennai,23:30,840,560,0,1.5,7,5,0,False,False,winter
2026-01-01,TR002,Delhi→Chennai,Delhi,Chennai,01:30,840,560,0,1.5,7,5,2,False,False,winter
2026-01-02,TR002,Delhi→Chennai,Delhi,Chennai,14:30,840,560,0,1.5,7,5,0,False,False,winter
2026-01-03,TR002,Delhi→Chennai,Delhi,Chennai,10:30,840,560,0,1.5,7,5,41,True,False,winter
2026-01-04,TR002,Delhi→Chennai,Delhi,Chennai,05:30,840,560,0,1.5,7,5,33,True,False,winter
2026-01-05,TR002,Delhi→Chennai,Delhi,Chennai,22:30,840,560,0,1.5,7,5,2,False,False,winter
2026-01-06,TR002,Delhi→Chennai,Delhi,Chennai,06:30,840,560,0,1.5,7,5,18,False,False,winter
2026-01-07,TR002,Delhi→Chennai,Delhi,Chennai,13:30,840,560,0,1.5,7,5,19,False,False,winter
2026-01-08,TR002,Delhi→Chennai,Delhi,Chennai,14:30,840,560,0,1.5,7,5,8,False,False,winter
2026-01-09,TR002,Delhi→Chennai,Delhi,Chennai,09:30,840,560,0,1.5,7,5,3,False,False,winter
2026-01-10,TR002,Delhi→Chennai,Delhi,Chennai,21:30,840,560,0,1.5,7,5,16,True,False,winter
2026-01-11,TR002,Delhi→Chennai,Delhi,Chennai,12:30,840,560,0,1.5,7,5,29,True,False,winter
2026-01-12,TR002,Delhi→Chennai,Delhi,Chennai,03:30,840,560,0,1.5,7,5,8,False,False,winter
2026-01-13,TR002,Delhi→Chennai,Delhi,Chennai,18:30,840,560,0,1.5,7,5,17,False,False,winter
2026-01-14,TR002,Delhi→Chennai,Delhi,Chennai,17:30,840,560,0,1.5,7,5,18,False,False,winter
2026-01-15,TR002,Delhi→Chennai,Delhi,Chennai,14:30,840,560,0,1.5,7,5,16,False,False,winter
2026-01-16,TR002,Delhi→Chennai,Delhi,Chennai,18:30,840,560,0,1.5,7,5,10,False,True,winter
2026-01-17,TR002,Delhi→Chennai,Delhi,Chennai,02:30,840,560,0,1.5,7,5,6,True,True,winter
2026-01-18,TR002,Delhi→Chennai,Delhi,Chennai,21:30,840,560,0,1.5,7,5,16,True,False,winter
2026-01-19,TR002,Delhi→Chennai,Delhi,Chennai,05:30,840,560,0,1.5,7,5,19,False,False,winter
2026-01-20,TR002,Delhi→Chennai,Delhi,Chennai,07:30,840,560,0,1.5,7,5,12,False,False,winter
2026-01-21,TR002,Delhi→Chennai,Delhi,Chennai,23:30,840,560,0,1.5,7,5,2,False,False,winter
2026-01-22,TR002,Delhi→Chennai,Delhi,Chennai,15:30,840,560,0,1.5,7,5,17,False,False,winter
2026-01-23,TR002,Delhi→Chennai,Delhi,Chennai,02:30,840,560,0,1.5,7,5,0,False,False,winter
2026-01-24,TR002,Delhi→Chennai,Delhi,Chennai,03:30,840,560,0,1.5,7,5,19,True,False,winter
2026-01-25,TR002,Delhi→Chennai,Delhi,Chennai,20:30,840,560,0,1.5,7,5,4,True,False,winter
2026-01-26,TR002,Delhi→Chennai,Delhi,Chennai,06:30,840,560,0,1.5,7,5,15,False,False,winter
2026-01-27,TR002,Delhi→Chennai,Delhi,Chennai,19:30,840,560,0,1.5,7,5,7,False,False,winter
2026-01-28,TR002,Delhi→Chennai,Delhi,Chennai,06:30,840,560,0,1.5,7,5,0,False,False,winter
2026-01-29,TR002,Delhi→Chennai,Delhi,Chennai,06:30,840,560,0,1.5,7,5,28,False,True,winter
2026-01-30,TR002,Delhi→Chennai,Delhi,Chennai,02:30,840,560,0,1.5,7,5,27,False,True,winter
2026-01-31,TR002,Delhi→Chennai,Delhi,Chennai,16:30,840,560,0,1.5,7,5,31,True,False,winter
2026-02-01,TR002,Delhi→Chennai,Delhi,Chennai,01:30,840,560,0,1.5,7,5,27,True,False,winter
2026-02-02,TR002,Delhi→Chennai,Delhi,Chennai,11:30,840,560,0,1.5,7,5,5,False,False,winter
2026-02-03,TR002,Delhi→Chennai,Delhi,Chennai,08:30,840,560,0,1.5,7,5,14,False,False,winter
2026-02-04,TR002,Delhi→Chennai,Delhi,Chennai,15:30,840,560,0,1.5,7,5,15,False,False,winter
2026-02-05,TR002,Delhi→Chennai,Delhi,Chennai,22:30,840,560,0,1.5,7,5,9,False,False,winter
2026-02-06,TR002,Delhi→Chennai,Delhi,Chennai,15:30,840,560,0,1.5,7,5,6,False,False,winter
2026-02-07,TR002,Delhi→Chennai,Delhi,Chennai,22:30,840,560,0,1.5,7,5,32,True,False,winter
2026-02-08,TR002,Delhi→Chennai,Delhi,Chennai,18:30,840,560,0,1.5,7,5,23,True,False,winter
2026-02-09,TR002,Delhi→Chennai,Delhi,Chennai,22:30,840,560,0,1.5,7,5,3,False,False,winter
2026-02-10,TR002,Delhi→Chennai,Delhi,Chennai,00:30,840,560,0,1.5,7,5,21,False,True,winter
2026-02-11,TR002,Delhi→Chennai,Delhi,Chennai,15:30,840,560,0,1.5,7,5,7,False,False,winter
2026-02-12,TR002,Delhi→Chennai,Delhi,Chennai,15:30,840,560,0,1.5,7,5,11,False,False,winter
2026-02-13,TR002,Delhi→Chennai,Delhi,Chennai,10:30,840,560,0,1.5,7,5,0,False,False,winter
2026-02-14,TR002,Delhi→Chennai,Delhi,Chennai,06:30,840,560,0,1.5,7,5,31,True,False,winter
2026-02-15,TR002,Delhi→Chennai,Delhi,Chennai,05:30,840,560,0,1.5,7,5,41,True,False,winter
2026-02-16,TR002,Delhi→Chennai,Delhi,Chennai,04:30,840,560,0,1.5,7,5,11,False,True,winter
2026-02-17,TR002,Delhi→Chennai,Delhi,Chennai,00:30,840,560,0,1.5,7,5,3,False,False,winter
2026-02-18,TR002,Delhi→Chennai,Delhi,Chennai,11:30,840,560,0,1.5,7,5,7,False,False,winter
2026-02-19,TR002,Delhi→Chennai,Delhi,Chennai,15:30,840,560,0,1.5,7,5,13,False,False,winter
2026-02-20,TR002,Delhi→Chennai,Delhi,Chennai,03:30,840,560,0,1.5,7,5,7,False,False,winter
2026-02-21,TR002,Delhi→Chennai,Delhi,Chennai,23:30,840,560,0,1.5,7,5,29,True,False,winter
2026-02-22,TR002,Delhi→Chennai,Delhi,Chennai,02:30,840,560,0,1.5,7,5,14,True,False,winter
2026-02-23,TR002,Delhi→Chennai,Delhi,Chennai,17:30,840,560,0,1.5,7,5,1,False,False,winter
2026-02-24,TR002,Delhi→Chennai,Delhi,Chennai,07:30,840,560,0,1.5,7,5,2,False,False,winter
2026-02-25,TR002,Delhi→Chennai,Delhi,Chennai,11:30,840,560,0,1.5,7,5,13,False,False,winter
2026-02-26,TR002,Delhi→Chennai,Delhi,Chennai,20:30,840,560,0,1.5,7,5,15,False,False,winter
2026-02-27,TR002,Delhi→Chennai,Delhi,Chennai,16:30,840,560,0,1.5,7,5,16,False,False,winter
2026-02-28,TR002,Delhi→Chennai,Delhi,Chennai,17:30,840,560,0,1.5,7,5,14,True,False,winter
2026-03-01,TR002,Delhi→Chennai,Delhi,Chennai,16:30,840,560,0,1.5,7,5,7,True,False,summer
2026-03-02,TR002,Delhi→Chennai,Delhi,Chennai,00:30,840,560,0,1.5,7,5,9,False,False,summer
2026-03-03,TR002,Delhi→Chennai,Delhi,Chennai,10:30,840,560,0,1.5,7,5,19,False,False,summer
2026-03-04,TR002,Delhi→Chennai,Delhi,Chennai,12:30,840,560,0,1.5,7,5,2,False,False,summer
2025-12-05,TR003,Bangalore→Kolkata,Bangalore,Kolkata,04:30,762,1200,438,0.635,15,6,17,False,False,winter
2025-12-06,TR003,Bangalore→Kolkata,Bangalore,Kolkata,01:30,1058,1200,142,0.8816666666666667,15,6,23,True,False,winter
2025-12-07,TR003,Bangalore→Kolkata,Bangalore,Kolkata,15:30,974,1200,226,0.8116666666666666,15,6,20,True,False,winter
2025-12-08,TR003,Bangalore→Kolkata,Bangalore,Kolkata,06:30,925,1200,275,0.7708333333333334,15,6,11,False,False,winter
2025-12-09,TR003,Bangalore→Kolkata,Bangalore,Kolkata,04:30,756,1200,444,0.63,15,6,4,False,False,winter
2025-12-10,TR003,Bangalore→Kolkata,Bangalore,Kolkata,16:30,828,1200,372,0.69,15,6,2,False,False,winter
2025-12-11,TR003,Bangalore→Kolkata,Bangalore,Kolkata,09:30,917,1200,283,0.7641666666666667,15,6,14,False,False,winter
2025-12-12,TR003,Bangalore→Kolkata,Bangalore,Kolkata,22:30,811,1200,389,0.6758333333333333,15,6,0,False,False,winter
2025-12-13,TR003,Bangalore→Kolkata,Bangalore,Kolkata,02:30,1021,1200,179,0.8508333333333333,15,6,11,True,False,winter
2025-12-14,TR003,Bangalore→Kolkata,Bangalore,Kolkata,08:30,1032,1200,168,0.86,15,6,13,True,False,winter
2025-12-15,TR003,Bangalore→Kolkata,Bangalore,Kolkata,06:30,775,1200,425,0.6458333333333334,15,6,19,False,False,winter
2025-12-16,TR003,Bangalore→Kolkata,Bangalore,Kolkata,16:30,834,1200,366,0.695,15,6,13,False,False,winter
2025-12-17,TR003,Bangalore→Kolkata,Bangalore,Kolkata,10:30,867,1200,333,0.7225,15,6,11,False,False,winter
2025-12-18,TR003,Bangalore→Kolkata,Bangalore,Kolkata,05:30,838,1200,362,0.6983333333333334,15,6,5,False,False,winter
2025-12-19,TR003,Bangalore→Kolkata,Bangalore,Kolkata,23:30,782,1200,418,0.6516666666666666,15,6,3,False,False,winter
2025-12-20,TR003,Bangalore→Kolkata,Bangalore,Kolkata,18:30,996,1200,204,0.83,15,6,21,True,False,winter
2025-12-21,TR003,Bangalore→Kolkata,Bangalore,Kolkata,11:30,1031,1200,169,0.8591666666666666,15,6,20,True,False,winter
2025-12-22,TR003,Bangalore→Kolkata,Bangalore,Kolkata,22:30,800,1200,400,0.6666666666666666,15,6,14,False,False,winter
2025-12-23,TR003,Bangalore→Kolkata,Bangalore,Kolkata,08:30,850,1200,350,0.7083333333333334,15,6,2,False,False,winter
2025-12-24,TR003,Bangalore→Kolkata,Bangalore,Kolkata,12:30,881,1200,319,0.7341666666666666,15,6,14,False,False,winter
2025-12-25,TR003,Bangalore→Kolkata,Bangalore,Kolkata,13:30,781,1200,419,0.6508333333333334,15,6,16,False,False,winter
2025-12-26,TR003,Bangalore→Kolkata,Bangalore,Kolkata,13:30,825,1200,375,0.6875,15,6,19,False,False,winter
2025-12-27,TR003,Bangalore→Kolkata,Bangalore,Kolkata,10:30,1106,1200,94,0.9216666666666666,15,6,0,True,False,winter
2025-12-28,TR003,Bangalore→Kolkata,Bangalore,Kolkata,06:30,987,1200,213,0.8225,15,6,18,True,False,winter
2025-12-29,TR003,Bangalore→Kolkata,Bangalore,Kolkata,17:30,834,1200,366,0.695,15,6,13,False,False,winter
2025-12-30,TR003,Bangalore→Kolkata,Bangalore,Kolkata,10:30,828,1200,372,0.69,15,6,4,False,False,winter
2025-12-31,TR003,Bangalore→Kolkata,Bangalore,Kolkata,13:30,866,1200,334,0.7216666666666667,15,6,14,False,False,winter
2026-01-01,TR003,Bangalore→Kolkata,Bangalore,Kolkata,08:30,783,1200,417,0.6525,15,6,6,False,False,winter
2026-01-02,TR003,Bangalore→Kolkata,Bangalore,Kolkata,19:30,780,1200,420,0.65,15,6,18,False,False,winter
2026-01-03,TR003,Bangalore→Kolkata,Bangalore,Kolkata,05:30,1061,1200,139,0.8841666666666667,15,6,36,True,False,winter
2026-01-04,TR003,Bangalore→Kolkata,Bangalore,Kolkata,02:30,1049,1200,151,0.8741666666666666,15,6,11,True,False,winter
2026-01-05,TR003,Bangalore→Kolkata,Bangalore,Kolkata,19:30,1134,1200,66,0.945,15,6,25,False,True,winter
2026-01-06,TR003,Bangalore→Kolkata,Bangalore,Kolkata,22:30,896,1200,304,0.7466666666666667,15,6,13,False,False,winter
2026-01-07,TR003,Bangalore→Kolkata,Bangalore,Kolkata,05:30,882,1200,318,0.735,15,6,18,False,False,winter
2026-01-08,TR003,Bangalore→Kolkata,Bangalore,Kolkata,11:30,945,1200,255,0.7875,15,6,11,False,False,winter
2026-01-09,TR003,Bangalore→Kolkata,Bangalore,Kolkata,20:30,883,1200,317,0.7358333333333333,15,6,16,False,False,winter
2026-01-10,TR003,Bangalore→Kolkata,Bangalore,Kolkata,14:30,1127,1200,73,0.9391666666666667,15,6,27,True,False,winter
2026-01-11,TR003,Bangalore→Kolkata,Bangalore,Kolkata,13:30,1038,1200,162,0.865,15,6,13,True,False,winter
2026-01-12,TR003,Bangalore→Kolkata,Bangalore,Kolkata,05:30,943,1200,257,0.7858333333333334,15,6,17,False,False,winter
2026-01-13,TR003,Bangalore→Kolkata,Bangalore,Kolkata,02:30,799,1200,401,0.6658333333333334,15,6,13,False,False,winter
2026-01-14,TR003,Bangalore→Kolkata,Bangalore,Kolkata,02:30,925,1200,275,0.7708333333333334,15,6,0,False,False,winter
2026-01-15,TR003,Bangalore→Kolkata,Bangalore,Kolkata,12:30,877,1200,323,0.7308333333333333,15,6,15,False,False,winter
2026-01-16,TR003,Bangalore→Kolkata,Bangalore,Kolkata,01:30,1264,1200,0,1.0533333333333332,15,6,22,False,True,winter
2026-01-17,TR003,Bangalore→Kolkata,Bangalore,Kolkata,04:30,1018,1200,182,0.8483333333333334,15,6,2,True,False,winter
2026-01-18,TR003,Bangalore→Kolkata,Bangalore,Kolkata,21:30,1052,1200,148,0.8766666666666667,15,6,5,True,False,winter
2026-01-19,TR003,Bangalore→Kolkata,Bangalore,Kolkata,19:30,923,1200,277,0.7691666666666667,15,6,0,False,False,winter
2026-01-20,TR003,Bangalore→Kolkata,Bangalore,Kolkata,19:30,818,1200,382,0.6816666666666666,15,6,12,False,False,winter
